,x,y,z,vx,vy,vz,phi,theta,psi,wx,wy,wz,a1,a2,a3,a4,r
6.3,1.136121262412538,3.1210159158714754,4.994343486522912,-0.08842451954618781,-0.0004999328435305069,0.0006584440031003545,0.007998135291210011,-0.007344016403161273,1.049240565825921,0.02827628839221537,0.22354501280971692,0.0013654809099328939,14452.653576287623,14457.425577326714,14508.148200124622,14501.927963142258,-26.98629175835694
6.4,1.1277577164195918,3.1204124061576715,4.9944287757886325,-0.07625379255793187,-0.011278049946273386,0.0009517564196951865,0.024396359556795224,0.0011777276394220725,1.049273960408663,-0.010098512182698513,0.1420388889038976,0.000516646714489832,14447.233276102554,14432.844792350417,14509.319335914039,14522.856653737439,-26.96427229629492
6.5,1.1214214873147033,3.1187453312009903,4.994516785386484,-0.05004615448256456,-0.02124396106169543,0.0007494550905794803,0.03069271393415162,0.00777487538235757,1.0493289626540327,-0.03799633782256311,0.036317605113931735,0.00022571964860144402,14451.57218032256,14426.310825596782,14501.31697064473,14527.40411644819,-26.940322941833465
6.6,1.1179964161729528,3.1162494556517073,4.994571300714527,-0.01989321105922155,-0.027667137558246662,0.0003645795169891536,0.027097053617890717,0.010951499920977005,1.0493220604932125,-0.049542281506079935,-0.05879417249619947,0.00041356512308042575,14463.312585589978,14436.357729688083,14489.002142295216,14517.47254797021,-26.91752653291727
6.7,1.117378101822848,3.1133544659899086,4.9945955723093265,0.004997747265491218,-0.02936411021834536,0.0001787284665109012,0.016591581424129715,0.01048292980410928,1.0492598636195183,-0.04476136245020746,-0.11834862835458643,0.0006065707358685262,14477.219815502001,14456.193565116297,14476.450860150439,14498.32427395356,-26.898303639645817
6.8,1.1186991342409915,3.110524648671702,4.994615997983829,0.018729175659956052,-0.02672265829668011,0.0002580204523729796,0.0035210258174864038,0.007226839182131068,1.0492004390060856,-0.028304575021437663,-0.13263340891165737,0.0005198171471739767,14488.102701466618,14477.655083803314,14466.389372086796,14476.736946971043,-26.883808314294104
6.8999999999999995,1.120725241041164,3.1081207549958894,4.994649792207449,0.019724604022083075,-0.021280443561823962,0.00040288754093328904,-0.007915894718450547,0.002656405660008655,1.0491807200152043,-0.007119777775389597,-0.10666471455158318,0.0002548363289017884,14493.101555650981,14494.291490793501,14460.693728303977,14459.1344516487,-26.873666655926005
7.0,1.1222766850675507,3.106318507677597,4.994692745763517,0.010317535246608592,-0.015062417352286995,0.0004293810639598905,-0.014815560377565812,-0.001679412743224472,1.0491898968484763,0.01189886383711184,-0.0557429046435751,6.0434337735572105e-05,14492.147637798444,14502.586718477669,14460.306402354105,14449.883368131115,-26.866289762042257
7.1,1.1225505063388594,3.1050955543329763,4.994731349291308,-0.004686421960775135,-0.00991215171360559,0.0003349301511510447,-0.01612967727029744,-0.004605393874704546,1.049196721695069,0.023803271740726516,0.0007998440205990586,4.379866568484386e-05,14487.032691481108,14501.984470454488,14464.668922047425,14450.145793959084,-26.859616593830793
7.2,1.121272142211409,3.1042769476087173,4.994759189719784,-0.0198589496176536,-0.007007338140909557,0.00023482183437034072,-0.012598141484605108,-0.005578446866590336,1.0491859323131343,0.02663913899544017,0.04583127480285435,0.0001179643135204677,14480.14364659759,14494.36277320992,14471.695198663216,14457.911924888125,-26.851887568204926
